frame,cpu_ms,gpu_ms,draw_calls,cpu_avg_ms,cpu_p95_ms,cpu_p99_ms,gpu_avg_ms,gpu_p95_ms,gpu_p99_ms,terrain_gpu_ms,ui_gpu_ms,vegetation_gpu_ms,vegetation_shadows_gpu_ms
139,5.287,8.064,1584,4.398,5.777,6.159,8.895,9.759,10.050,1.245,0.085,2.346,4.388
140,4.004,8.737,1575,4.395,5.774,6.157,8.894,9.758,10.049,1.229,0.083,3.275,4.150
141,3.705,7.541,1575,4.390,5.771,6.155,8.885,9.757,10.049,1.186,0.089,2.124,4.143
142,3.605,8.999,1575,4.384,5.767,6.152,8.885,9.755,10.049,1.188,0.076,2.147,5.588
143,3.828,7.522,1564,4.381,5.763,6.150,8.876,9.754,10.049,1.164,0.080,2.119,4.159
144,3.632,8.655,1564,4.375,5.758,6.147,8.874,9.752,10.049,1.157,0.078,2.142,5.278
145,4.559,7.556,1564,4.377,5.754,6.145,8.865,9.750,10.048,1.186,0.079,2.120,4.170
146,3.957,8.658,1564,4.374,5.749,6.143,8.864,9.749,10.048,1.154,0.078,2.123,5.303
147,4.407,7.509,1564,4.374,5.745,6.140,8.855,9.747,10.048,1.148,0.083,2.125,4.153
148,3.566,8.778,1557,4.369,5.741,6.138,8.854,9.746,10.048,1.126,0.080,2.125,5.447
149,4.074,7.555,1557,4.367,5.736,6.135,8.845,9.744,10.047,1.151,0.091,2.124,4.190
150,3.644,7.631,1546,4.362,5.732,6.133,8.837,9.742,10.047,1.262,0.084,2.090,4.195
151,4.428,8.598,1546,4.362,5.727,6.131,8.836,9.741,10.047,1.178,0.091,3.177,4.152
152,3.658,7.550,1546,4.358,5.723,6.128,8.827,9.739,10.047,1.183,0.081,2.093,4.192
153,3.892,6.718,1526,4.354,5.719,6.126,8.814,9.738,10.047,0.996,0.098,1.863,3.761
154,3.704,6.616,1526,4.350,5.714,6.124,8.799,9.736,10.046,0.898,0.080,1.866,3.773
155,3.584,6.700,1526,4.345,5.710,6.121,8.786,9.734,10.046,1.006,0.083,1.862,3.749
156,3.772,8.018,1526,4.342,5.705,6.119,8.781,9.733,10.046,1.019,0.078,1.859,5.062
157,3.860,6.745,1506,4.339,5.701,6.116,8.768,9.731,10.046,1.033,0.102,1.859,3.751
158,3.658,7.931,1506,4.334,5.697,6.114,8.762,9.730,10.045,1.073,0.078,1.868,4.912
159,3.941,6.682,1497,4.332,5.692,6.112,8.749,9.728,10.045,0.993,0.083,1.866,3.740
160,3.776,8.089,1497,4.328,5.688,6.109,8.745,9.726,10.045,1.080,0.087,1.858,5.064
161,3.945,6.836,1496,4.326,5.683,6.107,8.733,9.725,10.045,1.109,0.105,1.858,3.764
162,3.605,8.097,1496,4.321,5.681,6.104,8.730,9.722,10.045,1.095,0.080,1.872,5.050
163,5.535,6.733,1496,4.329,5.678,6.102,8.717,9.719,10.044,1.016,0.083,1.876,3.759
164,5.055,7.971,1496,4.333,5.676,6.100,8.713,9.716,10.044,1.029,0.079,1.880,4.983
165,5.712,6.785,1498,4.342,5.706,6.097,8.701,9.713,10.044,1.035,0.085,1.883,3.782
166,3.526,8.002,1498,4.337,5.705,6.095,8.697,9.710,10.044,1.036,0.079,1.894,4.993
167,4.149,6.764,1498,4.336,5.703,6.093,8.685,9.707,10.043,1.024,0.079,1.875,3.786
168,3.662,7.926,1498,4.332,5.702,6.090,8.681,9.704,10.043,1.077,0.078,1.890,4.881
169,4.148,6.805,1500,4.331,5.701,6.088,8.670,9.702,10.043,1.058,0.086,1.878,3.784
170,3.762,6.779,1500,4.327,5.699,6.085,8.658,9.699,10.043,1.028,0.078,1.892,3.780
171,4.353,6.809,1500,4.327,5.698,6.083,8.648,9.696,10.043,1.056,0.097,1.880,3.777
172,3.966,8.066,1500,4.325,5.696,6.081,8.644,9.693,10.042,1.065,0.078,1.899,5.023
173,3.929,6.820,1509,4.323,5.695,6.078,8.634,9.690,10.042,1.057,0.080,1.888,3.795
174,4.628,8.163,1509,4.325,5.693,6.076,8.631,9.687,10.042,1.102,0.078,3.191,3.792
175,4.680,7.466,1504,4.327,5.692,6.073,8.624,9.684,10.042,1.206,0.104,2.099,4.057
176,3.628,9.015,1504,4.323,5.691,6.071,8.627,9.681,10.041,1.177,0.079,2.113,5.646
177,4.162,7.393,1504,4.322,5.689,6.069,8.620,9.678,10.041,1.161,0.079,2.104,4.049
178,3.827,8.568,1513,4.319,5.688,6.066,8.619,9.675,10.041,1.173,0.080,2.105,5.210
179,4.710,7.453,1513,4.321,5.686,6.064,8.613,9.673,10.041,1.203,0.082,2.096,4.071
180,3.582,8.535,1506,4.317,5.685,6.062,8.612,9.670,10.041,1.154,0.077,2.101,5.202
181,4.460,7.367,1506,4.318,5.683,6.059,8.606,9.667,10.040,1.157,0.079,2.097,4.033
182,3.459,9.621,1510,4.313,5.681,6.057,8.611,9.666,10.040,1.330,0.087,2.308,5.895
183,4.936,8.142,1510,4.317,5.678,6.054,8.609,9.665,10.040,1.314,0.091,2.311,4.427
184,3.716,9.294,1510,4.313,5.676,6.052,8.612,9.664,10.040,2.476,0.080,2.317,4.420
185,5.097,9.511,1510,4.318,5.673,6.050,8.617,9.663,10.039,1.314,0.104,3.665,4.428
186,3.775,8.264,1516,4.315,5.671,6.047,8.615,9.662,10.039,1.415,0.089,2.307,4.453
187,4.119,9.330,1516,4.314,5.669,6.045,8.619,9.661,10.039,1.387,0.080,2.314,5.550
188,5.975,8.149,1516,4.323,5.702,6.042,8.617,9.660,10.039,1.315,0.079,2.318,4.436
189,4.968,9.333,1518,4.326,5.701,6.040,8.620,9.659,10.039,1.304,0.085,2.334,5.611
190,4.683,8.166,1518,4.328,5.699,6.038,8.618,9.658,10.038,1.284,0.096,2.328,4.458
191,3.632,8.151,1518,4.324,5.698,6.035,8.615,9.658,10.038,1.295,0.076,2.325,4.455
192,3.851,9.507,1520,4.322,5.696,6.033,8.620,9.657,10.038,1.426,0.077,2.386,5.618
193,4.658,8.326,1520,4.323,5.695,6.030,8.619,9.656,10.038,1.350,0.073,2.372,4.531
194,3.678,9.619,1520,4.320,5.693,6.028,8.624,9.655,10.037,1.357,0.090,2.382,5.790
195,3.617,8.460,1522,4.317,5.692,6.026,8.623,9.654,10.037,1.386,0.075,2.404,4.595
196,3.858,8.504,1522,4.314,5.691,6.023,8.622,9.653,10.037,1.408,0.102,2.404,4.591
197,5.790,9.485,1522,4.322,5.724,6.021,8.627,9.652,10.037,1.358,0.083,3.472,4.572
198,3.563,9.083,1522,4.318,5.721,6.019,8.629,9.651,10.037,1.378,0.075,2.628,5.002
199,3.933,9.099,1522,4.316,5.718,6.016,8.631,9.650,10.036,1.412,0.073,2.610,5.003
200,3.926,9.158,1522,4.314,5.715,6.014,8.634,9.649,10.036,1.428,0.074,2.632,5.025
201,4.680,10.763,1522,4.316,5.712,6.011,8.645,9.667,10.058,1.383,0.077,2.793,6.510
202,4.497,10.834,1522,4.317,5.711,6.011,8.655,9.722,10.064,1.435,0.076,2.809,6.514
203,4.405,9.699,1522,4.317,5.709,6.011,8.661,9.722,10.064,1.465,0.090,2.792,5.352
204,4.824,10.217,1515,4.320,5.708,6.010,8.668,9.752,10.213,2.475,0.072,2.604,5.066
205,6.290,10.512,1515,4.329,5.760,6.240,8.677,9.778,10.501,1.387,0.079,2.604,6.442
206,5.399,9.096,1515,4.334,5.757,6.238,8.679,9.777,10.498,1.353,0.076,2.598,5.069
207,5.109,10.506,1515,4.338,5.754,6.236,8.688,9.810,10.512,1.391,0.082,2.587,6.446
208,6.102,10.356,1504,4.347,5.784,6.240,8.696,9.831,10.512,1.347,0.103,3.868,5.038
209,5.155,9.109,1504,4.350,5.783,6.238,8.698,9.830,10.512,1.445,0.093,2.572,4.999
210,7.487,10.236,1504,4.365,5.808,6.286,8.705,9.855,10.512,1.360,0.073,2.588,6.214
211,5.300,10.238,1490,4.370,5.806,6.286,8.713,9.953,10.512,1.334,0.097,3.786,5.021
212,3.757,9.143,1490,4.367,5.804,6.285,8.715,9.944,10.512,1.420,0.074,2.589,5.058
213,4.248,10.315,1490,4.366,5.803,6.285,8.722,10.045,10.512,1.485,0.076,2.596,6.158
214,3.718,9.251,1490,4.363,5.801,6.285,8.725,10.044,10.511,1.498,0.108,2.607,5.037
215,3.891,10.414,1492,4.361,5.800,6.284,8.732,10.060,10.511,2.646,0.069,2.625,5.074
216,4.950,10.379,1492,4.364,5.798,6.284,8.740,10.102,10.511,1.464,0.073,2.619,6.224
217,4.420,9.256,1492,4.364,5.797,6.283,8.742,10.094,10.511,1.482,0.072,2.618,5.083
218,4.511,10.552,1492,4.365,5.795,6.283,8.751,10.220,10.545,1.501,0.078,2.629,6.345
219,6.022,10.531,1492,4.372,5.822,6.283,8.759,10.236,10.548,1.446,0.073,2.624,6.388
220,4.638,9.288,1492,4.374,5.822,6.282,8.761,10.236,10.548,1.472,0.073,2.618,5.125
221,4.794,10.650,1485,4.376,5.822,6.282,8.770,10.238,10.631,1.503,0.076,2.662,6.409
222,5.052,10.567,1485,4.379,5.820,6.281,8.778,10.311,10.633,1.499,0.075,3.801,5.192
223,5.132,9.317,1485,4.382,5.819,6.281,8.780,10.307,10.632,1.428,0.076,2.660,5.153
224,5.020,9.364,1485,4.385,5.817,6.281,8.783,10.303,10.631,1.424,0.075,2.657,5.207
225,4.562,9.791,1568,4.386,5.815,6.280,8.787,10.300,10.630,1.472,0.081,2.866,5.372
226,5.717,9.827,1568,4.391,5.814,6.280,8.792,10.296,10.630,1.482,0.090,2.856,5.400
227,4.994,10.391,1563,4.394,5.812,6.279,8.799,10.344,10.629,1.456,0.081,2.649,6.205
228,4.965,10.265,1563,4.397,5.811,6.279,8.806,10.342,10.628,1.409,0.090,3.790,4.976
229,6.075,7.915,1543,4.404,5.826,6.279,8.802,10.340,10.627,1.260,0.086,2.251,4.318
230,6.253,9.033,1543,4.412,5.844,6.279,8.803,10.337,10.626,1.226,0.078,3.413,4.316
231,3.697,8.609,1554,4.409,5.843,6.279,8.802,10.335,10.625,1.337,0.089,2.450,4.734
232,3.647,9.665,1554,4.406,5.841,6.278,8.806,10.333,10.625,1.346,0.075,2.442,5.802
233,3.756,7.889,1536,4.403,5.840,6.278,8.802,10.331,10.624,1.226,0.075,2.236,4.352
234,3.675,9.242,1536,4.400,5.839,6.278,8.804,10.329,10.623,1.273,0.086,2.227,5.656
235,4.139,9.119,1525,4.399,5.837,6.277,8.805,10.327,10.622,1.263,0.096,3.437,4.323
236,3.725,7.834,1525,4.396,5.836,6.277,8.801,10.325,10.621,1.216,0.082,2.209,4.327
237,4.244,9.053,1518,4.395,5.834,6.276,8.802,10.323,10.620,1.213,0.080,3.402,4.360
238,3.971,7.819,1518,4.393,5.833,6.276,8.798,10.321,10.620,1.208,0.078,2.228,4.305
239,3.930,9.133,1518,4.391,5.832,6.276,8.799,10.319,10.619,1.252,0.090,2.220,5.570
240,4.506,7.795,1518,4.392,5.830,6.275,8.795,10.317,10.618,1.196,0.084,2.204,4.311
241,4.059,7.838,1518,4.390,5.829,6.275,8.791,10.315,10.617,1.209,0.075,2.206,4.348
242,4.695,7.830,1518,4.392,5.828,6.275,8.787,10.312,10.616,1.200,0.076,2.221,4.332
243,3.618,9.627,1498,4.389,5.828,6.274,8.790,10.310,10.615,1.278,0.080,2.370,5.901
244,3.989,9.359,1498,4.387,5.828,6.274,8.793,10.307,10.615,1.253,0.081,3.462,4.564
245,3.659,8.254,1564,4.384,5.827,6.274,8.791,10.305,10.614,1.238,0.090,2.353,4.573
246,4.189,9.454,1564,4.383,5.827,6.273,8.793,10.302,10.613,1.220,0.084,2.365,5.785
247,4.150,8.304,1564,4.382,5.827,6.273,8.791,10.300,10.612,1.310,0.083,2.352,4.560
248,4.481,9.501,1575,4.383,5.826,6.272,8.794,10.297,10.611,1.206,0.113,2.376,5.807
249,5.273,8.320,1575,4.386,5.826,6.272,8.792,10.295,10.610,1.309,0.099,2.346,4.566
250,5.650,8.089,1575,4.391,5.826,6.272,8.789,10.292,10.610,1.121,0.080,2.354,4.535
251,4.413,9.234,1575,4.391,5.825,6.271,8.791,10.290,10.609,1.211,0.078,3.417,4.529
252,4.943,8.092,1564,4.394,5.825,6.271,8.788,10.287,10.608,1.187,0.080,2.336,4.489
253,5.499,9.310,1564,4.398,5.825,6.271,8.790,10.285,10.607,1.236,0.097,2.328,5.649
254,3.582,8.138,1555,4.395,5.824,6.270,8.788,10.282,10.606,1.197,0.078,2.346,4.518
